epoch,train_loss,val_loss,psnr,ssim,lr
78,18.882283020019532,11.875039291381835,tensor(0.9061),tensor(19.9683),0.0001
79,19.268912887573244,12.0628112077713,tensor(0.9073),tensor(20.1770),0.0001
80,19.003536796569826,12.002197098731994,tensor(0.9076),tensor(20.0465),0.0001
81,18.621990203857422,11.90096664428711,tensor(0.9057),tensor(19.8731),0.0001
82,18.548971366882324,11.835891675949096,tensor(0.9090),tensor(19.8500),0.0001
83,18.99923915863037,11.74807574748993,tensor(0.9085),tensor(19.7555),0.0001
84,19.045423126220705,11.744378972053529,tensor(0.9086),tensor(19.7042),0.0001
85,18.84811363220215,11.71831030845642,tensor(0.9082),tensor(19.6502),0.0001
86,18.97329635620117,11.705364727973938,tensor(0.9112),tensor(19.6513),0.0001
87,18.06266670227051,11.68384120464325,tensor(0.9116),tensor(19.6117),0.0001
88,18.486996269226076,11.731759929656983,tensor(0.9101),tensor(19.6084),0.0001
89,18.144935607910156,11.60990538597107,tensor(0.9119),tensor(19.4520),0.0001
90,17.814912796020508,11.589866948127746,tensor(0.9121),tensor(19.4868),0.0001
91,17.283708000183104,11.796790027618409,tensor(0.9093),tensor(19.6093),0.0001
92,17.155430793762207,11.6868647813797,tensor(0.9107),tensor(19.5088),0.0001
93,17.15955333709717,11.53794767856598,tensor(0.9119),tensor(19.3813),0.0001
94,16.99456081390381,11.53984718322754,tensor(0.9134),tensor(19.3584),0.0001
95,17.14830493927002,11.494059133529664,tensor(0.9133),tensor(19.2868),0.0001
96,17.123322105407716,11.441150045394897,tensor(0.9145),tensor(19.2275),0.0001
97,17.050864601135252,11.448449778556824,tensor(0.9144),tensor(19.2576),0.0001
98,16.965226936340333,11.39873149394989,tensor(0.9146),tensor(19.1347),0.0001
99,16.89703712463379,11.508710885047913,tensor(0.9160),tensor(19.2474),0.0001
100,16.689983367919922,11.419102382659911,tensor(0.9169),tensor(19.0933),0.0001
101,16.49332618713379,11.32131893634796,tensor(0.9171),tensor(19.0210),0.0001
102,16.722572898864748,11.384051418304443,tensor(0.9152),tensor(19.0492),0.0001
103,16.764112091064455,11.306952834129333,tensor(0.9170),tensor(18.9552),0.0001
104,16.839618682861328,11.374993348121643,tensor(0.9159),tensor(19.0117),0.0001
105,16.572929000854494,11.335961842536927,tensor(0.9154),tensor(18.9563),0.0001
106,16.548782348632812,11.279038238525391,tensor(0.9176),tensor(18.9376),0.0001
107,16.294853591918944,11.270810890197755,tensor(0.9186),tensor(18.8768),0.0001
108,16.371233558654787,11.34545545578003,tensor(0.9180),tensor(18.9453),0.0001
109,16.752873611450195,11.344181013107299,tensor(0.9193),tensor(18.9039),0.0001
110,16.35072555541992,11.344727683067322,tensor(0.9195),tensor(18.8450),0.0001
111,16.143544387817382,11.144853734970093,tensor(0.9195),tensor(18.6998),0.0001
112,15.946822547912598,11.179942941665649,tensor(0.9190),tensor(18.6880),0.0001
113,16.520184135437013,11.101664876937866,tensor(0.9202),tensor(18.6176),0.0001
114,16.494153022766113,11.155925011634826,tensor(0.9202),tensor(18.6496),0.0001
115,16.51917495727539,11.061100482940674,tensor(0.9204),tensor(18.5222),0.0001
116,16.524136352539063,11.048339605331421,tensor(0.9200),tensor(18.5425),0.0001
117,16.7634126663208,11.031535458564758,tensor(0.9201),tensor(18.4981),0.0001
118,16.633362770080566,11.103428506851197,tensor(0.9217),tensor(18.4942),0.0001
119,16.48239345550537,11.19395968914032,tensor(0.9226),tensor(18.5665),0.0001
120,16.93705596923828,11.254804587364196,tensor(0.9227),tensor(18.5645),0.0001
121,16.43049259185791,11.046622848510742,tensor(0.9228),tensor(18.4086),0.0001
122,16.1364164352417,11.001168775558472,tensor(0.9206),tensor(18.4031),0.0001
123,16.285870933532713,11.046982645988464,tensor(0.9206),tensor(18.4409),0.0001
124,15.978071975708009,11.043047332763672,tensor(0.9217),tensor(18.4383),0.0001
125,15.974938011169433,10.940851521492004,tensor(0.9231),tensor(18.3241),0.0001
126,15.772908973693848,10.96175639629364,tensor(0.9235),tensor(18.2875),0.0001
127,15.620265197753906,10.972968578338623,tensor(0.9225),tensor(18.3869),0.0001
128,15.508387756347656,11.050081539154053,tensor(0.9225),tensor(18.3842),0.0001
129,15.562715339660645,11.23359181880951,tensor(0.9216),tensor(18.7445),0.0001
130,15.374583053588868,10.915118670463562,tensor(0.9240),tensor(18.1910),0.0001
131,15.256072425842286,10.87541904449463,tensor(0.9224),tensor(18.1728),0.0001
132,15.168434715270996,11.202538514137268,tensor(0.9234),tensor(18.4352),0.0001
133,15.335647201538086,11.065909099578857,tensor(0.9245),tensor(18.2864),0.0001
134,15.569588088989258,10.961221551895141,tensor(0.9241),tensor(18.3488),0.0001
135,16.494744110107423,10.861466407775879,tensor(0.9235),tensor(18.1271),0.0001
136,15.823106384277343,10.88060028553009,tensor(0.9242),tensor(18.1907),0.0001
137,15.548603057861328,10.851203203201294,tensor(0.9239),tensor(18.0927),0.0001
138,15.531583023071288,10.898733234405517,tensor(0.9255),tensor(18.2296),0.0001
139,15.606352043151855,10.91889979839325,tensor(0.9256),tensor(18.2005),0.0001
140,15.717087936401366,10.796538519859315,tensor(0.9245),tensor(18.0713),0.0001
141,15.61945457458496,10.740051412582398,tensor(0.9236),tensor(17.9575),0.0001
142,15.85724334716797,10.726420331001282,tensor(0.9260),tensor(18.0059),0.0001
143,15.923513984680175,10.727641248703003,tensor(0.9254),tensor(17.9766),0.0001
144,16.267076301574708,10.725079441070557,tensor(0.9249),tensor(17.9678),0.0001
145,15.636594009399413,10.68160059452057,tensor(0.9258),tensor(17.9130),0.0001
146,15.539706039428712,10.684186482429505,tensor(0.9261),tensor(17.9307),0.0001
147,15.199342346191406,10.639496541023254,tensor(0.9267),tensor(17.8487),0.0001
148,15.209297180175781,10.648682260513306,tensor(0.9267),tensor(17.8443),0.0001
149,15.326890563964843,10.612338089942932,tensor(0.9269),tensor(17.7395),0.0001
150,15.122779273986817,10.598186230659485,tensor(0.9275),tensor(17.7500),0.0001
151,15.36158103942871,10.534866881370544,tensor(0.9274),tensor(17.6361),0.0001
152,15.02030906677246,10.538383936882019,tensor(0.9274),tensor(17.5768),0.0001
153,14.779804039001466,10.565544629096985,tensor(0.9276),tensor(17.6500),0.0001
154,14.93220558166504,10.521936964988708,tensor(0.9286),tensor(17.6066),0.0001
155,14.809446907043457,10.505602860450745,tensor(0.9286),tensor(17.5910),0.0001
156,14.752108383178712,10.52050061225891,tensor(0.9292),tensor(17.5645),0.0001
157,14.764623069763184,10.509313154220582,tensor(0.9284),tensor(17.5729),0.0001
158,14.85545539855957,10.517530941963196,tensor(0.9270),tensor(17.5665),0.0001
159,14.787534141540528,10.60367476940155,tensor(0.9261),tensor(17.6867),0.0001
160,14.644968414306641,10.612423062324524,tensor(0.9273),tensor(17.7084),0.0001
161,14.550103569030762,10.512998056411742,tensor(0.9278),tensor(17.5903),0.0001
162,14.680968856811523,10.512755465507507,tensor(0.9277),tensor(17.6209),0.0001
163,14.596294021606445,10.61420443058014,tensor(0.9288),tensor(17.7766),0.0001
164,14.972954559326173,10.48831341266632,tensor(0.9281),tensor(17.5990),0.0001
165,15.638257026672363,10.588545536994934,tensor(0.9267),tensor(17.6692),0.0001
166,15.194569396972657,10.501356387138367,tensor(0.9274),tensor(17.5611),0.0001
167,15.600171852111817,10.447709965705872,tensor(0.9289),tensor(17.5456),0.0001
168,14.954406929016113,10.482823777198792,tensor(0.9291),tensor(17.5597),0.0001
169,14.67528839111328,10.467569017410279,tensor(0.9297),tensor(17.5243),0.0001
170,14.89856128692627,10.404837274551392,tensor(0.9290),tensor(17.3971),0.0001
171,14.668771934509277,10.471545577049255,tensor(0.9273),tensor(17.4722),0.0001
172,14.71770420074463,10.372040224075317,tensor(0.9293),tensor(17.3615),0.0001
173,14.823057174682617,10.395929408073425,tensor(0.9306),tensor(17.4187),0.0001
174,14.76960048675537,10.313301134109498,tensor(0.9310),tensor(17.2495),0.0001
175,14.47750129699707,10.311739706993103,tensor(0.9299),tensor(17.2369),0.0001
176,14.3603084564209,10.272108721733094,tensor(0.9306),tensor(17.1432),0.0001
177,14.710325813293457,10.317969298362732,tensor(0.9312),tensor(17.2187),0.0001
178,14.78510398864746,10.323308062553405,tensor(0.9316),tensor(17.2555),0.0001
179,14.539069366455077,10.34100091457367,tensor(0.9311),tensor(17.2739),0.0001
180,14.694946479797363,10.543060755729675,tensor(0.9311),tensor(17.4891),0.0001
181,14.406676292419434,10.420555782318115,tensor(0.9315),tensor(17.2457),0.0001
182,14.461962699890137,10.41775050163269,tensor(0.9299),tensor(17.3816),0.0001
183,14.50830307006836,10.351635766029357,tensor(0.9290),tensor(17.2363),0.0001
184,14.414367866516113,10.297940111160278,tensor(0.9312),tensor(17.2540),0.0001
185,14.468115234375,10.260662961006165,tensor(0.9318),tensor(17.1557),0.0001
186,15.088925552368163,10.300902152061463,tensor(0.9314),tensor(17.2535),0.0001
187,14.937749481201172,10.267814421653748,tensor(0.9310),tensor(17.1480),0.0001
188,15.131364631652833,10.249574565887452,tensor(0.9317),tensor(17.1290),0.0001
189,14.72557201385498,10.242820215225219,tensor(0.9320),tensor(17.0953),0.0001
190,14.995018768310548,10.231490731239319,tensor(0.9320),tensor(17.1031),0.0001
191,14.712996673583984,10.227601099014283,tensor(0.9314),tensor(17.0682),0.0001
192,14.801000595092773,10.181344389915466,tensor(0.9323),tensor(17.0359),0.0001
193,14.917584419250488,10.159867286682129,tensor(0.9329),tensor(16.9984),0.0001
194,14.941681480407714,10.160006737709045,tensor(0.9329),tensor(16.9776),0.0001
195,14.6990571975708,10.130350470542908,tensor(0.9333),tensor(16.9069),0.0001
196,14.145472526550293,10.123382115364075,tensor(0.9335),tensor(16.9275),0.0001
197,14.494161605834961,10.096479988098144,tensor(0.9330),tensor(16.8741),0.0001
198,14.462169647216797,10.155869841575623,tensor(0.9335),tensor(16.9226),0.0001
199,14.141873359680176,10.111564564704896,tensor(0.9335),tensor(16.9199),0.0001
200,13.915536499023437,10.213916373252868,tensor(0.9331),tensor(17.1188),0.0001
201,13.665683174133301,10.144464540481568,tensor(0.9330),tensor(16.9524),5e-05
202,13.613154029846191,10.128584599494934,tensor(0.9342),tensor(16.9438),5e-05
203,13.590267753601074,10.104625344276428,tensor(0.9332),tensor(16.8865),5e-05
204,13.506852340698241,10.098930740356446,tensor(0.9330),tensor(16.7973),5e-05
205,13.526733207702637,10.118321061134338,tensor(0.9336),tensor(16.8909),5e-05
206,13.520392608642577,10.0606600522995,tensor(0.9346),tensor(16.7899),5e-05
207,13.594627189636231,10.033190155029297,tensor(0.9340),tensor(16.7677),5e-05
208,13.673871994018555,10.035955905914307,tensor(0.9337),tensor(16.7671),5e-05
209,13.512565803527831,10.037040424346923,tensor(0.9344),tensor(16.7784),5e-05
210,13.465089416503906,10.024559116363525,tensor(0.9342),tensor(16.7503),5e-05
211,13.494278526306152,10.02372965812683,tensor(0.9340),tensor(16.7410),5e-05
212,13.602456855773926,10.014272737503052,tensor(0.9342),tensor(16.7349),5e-05
213,13.604617691040039,10.124878334999085,tensor(0.9345),tensor(16.9182),5e-05
214,13.541778373718262,10.063534927368163,tensor(0.9335),tensor(16.8158),5e-05
215,13.52163200378418,10.103355836868285,tensor(0.9328),tensor(16.8638),5e-05
216,13.679980087280274,10.098772048950195,tensor(0.9344),tensor(16.9076),5e-05
217,14.025432205200195,10.065600037574768,tensor(0.9347),tensor(16.8292),5e-05
218,13.894842529296875,10.040459394454956,tensor(0.9343),tensor(16.7602),5e-05
219,13.616538619995117,10.00338547229767,tensor(0.9345),tensor(16.7102),5e-05
220,13.544902038574218,10.019237661361695,tensor(0.9349),tensor(16.7600),5e-05
221,13.487635231018066,9.980034804344177,tensor(0.9345),tensor(16.6758),5e-05
222,13.501798057556153,9.972088479995728,tensor(0.9346),tensor(16.6502),5e-05
223,13.432601737976075,9.977893352508545,tensor(0.9350),tensor(16.6865),5e-05
224,13.356034088134766,9.958176565170287,tensor(0.9349),tensor(16.6223),5e-05
225,13.335727310180664,9.949040532112122,tensor(0.9352),tensor(16.6243),5e-05
226,13.368422889709473,9.938196539878845,tensor(0.9353),tensor(16.6048),5e-05
227,13.318349266052246,9.955363178253174,tensor(0.9357),tensor(16.6380),5e-05
228,13.290263748168945,9.939542508125305,tensor(0.9356),tensor(16.6102),5e-05
229,13.301463890075684,9.943305182456971,tensor(0.9359),tensor(16.6051),5e-05
230,13.279544258117676,9.928511381149292,tensor(0.9358),tensor(16.5659),5e-05
231,13.361819076538087,9.907180500030517,tensor(0.9358),tensor(16.5284),5e-05
232,13.528353118896485,9.902687072753906,tensor(0.9358),tensor(16.5464),5e-05
233,13.451899147033691,9.911469841003418,tensor(0.9357),tensor(16.5149),5e-05
234,13.35338077545166,9.91196699142456,tensor(0.9360),tensor(16.5610),5e-05
235,13.383205986022949,9.969336891174317,tensor(0.9362),tensor(16.6339),5e-05
236,13.303031921386719,9.91613736152649,tensor(0.9356),tensor(16.5677),5e-05
237,13.262712097167968,9.938003420829773,tensor(0.9351),tensor(16.5932),5e-05
238,13.16263542175293,9.947384881973267,tensor(0.9354),tensor(16.6360),5e-05
239,13.148830604553222,9.959452128410339,tensor(0.9361),tensor(16.6598),5e-05
240,13.193926239013672,9.938509511947633,tensor(0.9361),tensor(16.6202),5e-05
241,13.186773490905761,9.931640768051148,tensor(0.9350),tensor(16.5785),5e-05
242,13.23246364593506,9.91746790409088,tensor(0.9351),tensor(16.5455),5e-05
243,13.46521873474121,9.904512524604797,tensor(0.9359),tensor(16.5381),5e-05
244,13.337486839294433,9.897243547439576,tensor(0.9360),tensor(16.5491),5e-05
245,13.27800350189209,9.862377738952636,tensor(0.9361),tensor(16.4581),5e-05
246,13.210384368896484,9.86765730381012,tensor(0.9359),tensor(16.4862),5e-05
247,13.312525749206543,9.867233538627625,tensor(0.9361),tensor(16.4801),5e-05
248,13.129349517822266,9.880021381378175,tensor(0.9363),tensor(16.5129),5e-05
249,13.234604644775391,9.901823997497559,tensor(0.9359),tensor(16.5537),5e-05
250,13.165765953063964,9.934903764724732,tensor(0.9362),tensor(16.6154),5e-05
251,13.19775333404541,9.898593664169312,tensor(0.9364),tensor(16.5501),5e-05
252,13.159032249450684,9.879386496543884,tensor(0.9356),tensor(16.4929),5e-05
253,13.092729568481445,9.851629590988159,tensor(0.9365),tensor(16.4499),5e-05
254,13.05364761352539,9.853708195686341,tensor(0.9369),tensor(16.4769),5e-05
255,13.086118507385255,9.84411153793335,tensor(0.9368),tensor(16.4490),5e-05
256,13.12382640838623,9.848699283599853,tensor(0.9367),tensor(16.4488),5e-05
257,13.051971244812012,9.813410663604737,tensor(0.9371),tensor(16.3837),5e-05
258,13.027788734436035,9.819471597671509,tensor(0.9373),tensor(16.3631),5e-05
259,12.999155616760254,9.816873836517335,tensor(0.9372),tensor(16.3773),5e-05
260,12.987491035461426,9.832312083244323,tensor(0.9371),tensor(16.4109),5e-05
261,13.08059253692627,9.8371901512146,tensor(0.9374),tensor(16.4270),5e-05
262,12.957770156860352,9.819587206840515,tensor(0.9371),tensor(16.3925),5e-05
263,12.9464599609375,9.824296188354491,tensor(0.9370),tensor(16.3771),5e-05
264,12.98189868927002,9.817079496383666,tensor(0.9370),tensor(16.3667),5e-05
265,12.92111587524414,9.798481726646424,tensor(0.9375),tensor(16.3739),5e-05
266,12.904299926757812,9.79618706703186,tensor(0.9377),tensor(16.3586),5e-05
267,12.906019401550292,9.780394506454467,tensor(0.9377),tensor(16.3457),5e-05
268,12.90603084564209,9.761585783958434,tensor(0.9380),tensor(16.2815),5e-05
269,12.89554958343506,9.779508829116821,tensor(0.9382),tensor(16.2906),5e-05
270,13.152146911621093,9.734318709373474,tensor(0.9381),tensor(16.2216),5e-05
271,13.012191200256348,9.73355474472046,tensor(0.9378),tensor(16.2250),5e-05
272,13.012506103515625,9.728391289710999,tensor(0.9382),tensor(16.2277),5e-05
273,12.964250564575195,9.722530508041382,tensor(0.9383),tensor(16.2047),5e-05
274,12.894675064086915,9.72645299434662,tensor(0.9383),tensor(16.2227),5e-05
275,12.947764015197754,9.737173342704773,tensor(0.9386),tensor(16.2221),5e-05
276,13.102433013916016,9.750702047348023,tensor(0.9388),tensor(16.2608),5e-05
277,13.286776542663574,9.758267068862915,tensor(0.9387),tensor(16.2889),5e-05
278,13.192980575561524,9.733531069755553,tensor(0.9386),tensor(16.2267),5e-05
279,13.270216369628907,9.723290705680848,tensor(0.9380),tensor(16.2197),5e-05
280,13.326873588562012,9.760061764717102,tensor(0.9376),tensor(16.2400),5e-05
281,13.551137542724609,9.705648612976074,tensor(0.9383),tensor(16.1922),5e-05
282,13.281332778930665,9.75037932395935,tensor(0.9387),tensor(16.2102),5e-05
283,13.147974586486816,9.692787861824035,tensor(0.9388),tensor(16.1418),5e-05
284,13.103548622131347,9.707560038566589,tensor(0.9391),tensor(16.1446),5e-05
285,13.051966094970703,9.67976942062378,tensor(0.9389),tensor(16.1434),5e-05
286,13.106082725524903,9.67396342754364,tensor(0.9386),tensor(16.1349),5e-05
287,13.082675743103028,9.678133487701416,tensor(0.9390),tensor(16.1398),5e-05
288,13.064918327331544,9.714833378791809,tensor(0.9391),tensor(16.1897),5e-05
289,13.01882724761963,9.667408132553101,tensor(0.9391),tensor(16.0931),5e-05
290,12.958884620666504,9.690674638748169,tensor(0.9382),tensor(16.1283),5e-05
291,12.920369911193848,9.674426937103272,tensor(0.9385),tensor(16.0976),5e-05
292,12.823434638977051,9.658061099052428,tensor(0.9392),tensor(16.1112),5e-05
293,12.93443489074707,9.640923237800598,tensor(0.9393),tensor(16.0701),5e-05
294,12.955987739562989,9.639717602729798,tensor(0.9393),tensor(16.0529),5e-05
295,12.99955348968506,9.649706768989564,tensor(0.9395),tensor(16.0950),5e-05
296,12.846465682983398,9.656368303298951,tensor(0.9397),tensor(16.0827),5e-05
297,12.805110549926757,9.664679765701294,tensor(0.9395),tensor(16.1354),5e-05
298,12.80319766998291,9.667142868041992,tensor(0.9398),tensor(16.1229),5e-05
299,12.85304298400879,9.637909245491027,tensor(0.9395),tensor(16.0314),5e-05
300,12.734184646606446,9.628636074066161,tensor(0.9393),tensor(16.0455),5e-05
301,12.799781608581544,9.610672354698181,tensor(0.9393),tensor(15.9584),5e-05
302,13.011085700988769,9.623247361183166,tensor(0.9398),tensor(16.0446),5e-05
303,13.20736026763916,9.644600176811219,tensor(0.9391),tensor(16.0155),5e-05
304,13.15808048248291,9.706553983688355,tensor(0.9392),tensor(16.1753),5e-05
305,13.116762924194337,9.77898325920105,tensor(0.9396),tensor(16.1738),5e-05
306,12.833128738403321,9.73234474658966,tensor(0.9394),tensor(16.2166),5e-05
307,12.796915435791016,9.703102326393127,tensor(0.9396),tensor(16.1482),5e-05
308,12.774199867248536,9.671460556983948,tensor(0.9383),tensor(16.1047),5e-05
309,12.621261978149414,9.631899166107178,tensor(0.9389),tensor(15.9913),5e-05
310,12.65466365814209,9.662087845802308,tensor(0.9396),tensor(16.1133),5e-05
311,12.70392074584961,9.665867137908936,tensor(0.9402),tensor(16.0916),5e-05
312,12.720725440979004,9.664581847190856,tensor(0.9397),tensor(16.0790),5e-05
313,12.821699142456055,9.6314777135849,tensor(0.9395),tensor(16.0170),5e-05
314,12.920976257324218,9.703054618835449,tensor(0.9387),tensor(16.0674),5e-05
315,12.922193908691407,9.669287967681885,tensor(0.9390),tensor(15.9890),5e-05
316,12.791204261779786,9.6667076587677,tensor(0.9394),tensor(16.1085),5e-05
317,12.732462501525879,9.693459749221802,tensor(0.9398),tensor(16.1257),5e-05
318,12.675238418579102,9.665612530708312,tensor(0.9393),tensor(16.1022),5e-05
319,12.751081848144532,9.710864663124084,tensor(0.9386),tensor(16.1304),5e-05
320,12.724966621398925,9.709539079666138,tensor(0.9389),tensor(16.1645),5e-05
321,12.628941535949707,9.709250998497009,tensor(0.9394),tensor(16.0909),5e-05
322,12.631089019775391,9.662981867790222,tensor(0.9391),tensor(16.0750),5e-05
323,12.638977813720704,9.594822096824647,tensor(0.9395),tensor(15.9763),5e-05
324,12.665934181213379,9.608556389808655,tensor(0.9399),tensor(16.0101),5e-05
325,12.698142623901367,9.631531715393066,tensor(0.9398),tensor(16.0712),5e-05
326,12.627228736877441,9.620224237442017,tensor(0.9401),tensor(16.0332),5e-05
327,12.683783721923827,9.58671875,tensor(0.9403),tensor(15.9628),5e-05
328,12.60903205871582,9.640720129013062,tensor(0.9401),tensor(16.0175),5e-05
329,12.575359535217284,9.658607268333435,tensor(0.9398),tensor(16.0746),5e-05
330,12.564605522155762,9.632350969314576,tensor(0.9396),tensor(16.0345),5e-05
331,12.605740165710449,9.585626530647279,tensor(0.9395),tensor(15.9811),5e-05
332,12.700866317749023,9.558571147918702,tensor(0.9400),tensor(15.9206),5e-05
333,12.648644065856933,9.547985219955445,tensor(0.9403),tensor(15.9094),5e-05
334,12.731654739379882,9.538066339492797,tensor(0.9403),tensor(15.8970),5e-05
335,13.09153881072998,9.629609274864197,tensor(0.9388),tensor(15.9538),5e-05
336,13.274449729919434,9.727018523216248,tensor(0.9385),tensor(16.1484),5e-05
337,12.915202140808105,9.645192503929138,tensor(0.9398),tensor(15.9879),5e-05
338,12.81049041748047,9.662519025802613,tensor(0.9400),tensor(16.1354),5e-05
339,12.767323684692382,9.739607548713684,tensor(0.9403),tensor(16.1615),5e-05
